surname,name,birthday,university
Alexander,Adele,5/6/1988,Ateneo De Manila University
Avila,Raven,1/13/2008,De La Salle University Manila
Barrera,Madisyn,11/11/1996,University of the Philippines
Blair,Rihanna,7/25/2004,Systems Technology Institute
Bryan,Whitney,2/5/1988,De La Salle University Manila
Callahan,Alia,6/23/1995,University of the Philippines
Carson,Lina,11/12/2009,Systems Technology Institute
Castro,Sergio,1/28/1989,Ateneo De Manila University
Chan,Angel,4/3/2002,University of the Philippines
Daniel,Leighton,1/7/1993,Lyceum of the Philippines University
Dejesus,Kenzie,7/9/1985,Systems Technology Institute
Dennis,Ruben,4/12/1998,Ateneo De Manila University
Farmer,Miles,4/8/2010,Mapua Insititute of Technology Manila
Fuentes,Michael,9/9/2006,Lyceum of the Philippines University
Gentry,Ryan,5/4/1993,Mapua Insititute of Technology Manila
Gilmore,Major,5/6/1995,University of the Philippines
Griffith,Yehuda,8/14/1999,University of the Philippines
Gutierrez,Aubri,2/19/1989,University of Santo Tomas
Hodge,Jose,11/17/2004,Ateneo De Manila University
Hodge,Olivia,6/26/1994,Lyceum of the Philippines University
Hoffman,Audrey,11/8/1997,Mapua Insititute of Technology Manila
Hughes,Breanna,3/9/2007,De La Salle University Manila
Joyrce,Emilie,10/5/1992,De La Salle University Manila
Leach,Ryder,2/25/1992,Ateneo De Manila University
Lloyd,Hank,6/2/1988,Lyceum of the Philippines University
Mack,Valentina,5/21/1996,University of Santo Tomas
Marquez,Cannon,7/12/2000,Ateneo De Manila University
Mccoy,Amiya,9/7/1999,University of the Philippines
Mclean,Ezra,1/6/1986,De La Salle University Manila
Mcneil,Tatiana,8/3/1994,University of Santo Tomas
Nash,Celeste,12/12/2000,Lyceum of the Philippines University
Navarro,Natalee,11/30/2005,De La Salle University Manila
Nicholson,Charlee,11/11/2004,Lyceum of the Philippines University
Ortega,Brycen,8/30/2010,Ateneo De Manila University
Osborne,Arabella,9/27/1993,De La Salle University Manila
Patterson,Tiana,2/17/2007,Lyceum of the Philippines University
Penningtor,Gunner,10/23/1990,University of Santo Tomas
Pierce,Bailey,7/11/2004,Mapua Insititute of Technology Manila
Reese,Braylin,5/10/1985,University of Santo Tomas
Rhodes,Cecelia,3/25/1992,Lyceum of the Philippines University
Rice,Jolene,9/2/1990,Systems Technology Institute
Riggs,Kayson,2/12/1995,De La Salle University Manila
Sanchez,April,2/15/1999,De La Salle University Manila
Snow,Priscilla,6/16/1989,Systems Technology Institute
Sparks,Leslie,9/6/1998,University of the Philippines
Spencer,Zain,8/25/1986,De La Salle University Manila
Stein,Shelby,3/30/1997,Mapua Insititute of Technology Manila
Terry,Messiah,12/12/2006,De La Salle University Manila
Wiley,Jordan,9/1/2007,University of Santo Tomas
Winters,Darwin,1/14/1988,De La Salle University Manila
